交易号                  ,商家订单号               ,交易创建时间              ,付款时间                ,最近修改时间              ,交易来源地     ,类型              ,交易对方            ,商品名称                ,金额（元）   ,收/支     ,交易状态    ,服务费（元）   ,成功退款（元）  ,备注                  ,资金状态     
"20210118054529903405 	","202101181002300004340024787978-NORMAL_BUY	",2021/1/18 13:41,2021/1/18 13:41,2021/1/18 13:41,其他（包括阿里巴巴和外部商家）,即时到账交易          ,平安养老保险股份有限公司    ,理财买入-平安富享人生366天     ,10000,        ,交易成功    ,0,0,                    ,已支出      
"20210118001080012204340004970023	","                    	",2021/1/18 13:39,                    ,2021/1/18 13:39,支付宝网站     ,即时到账交易          ,博时黄金-蚂蚁（杭州）基金销售有限公司,博时黄金-买入             ,200,        ,交易成功    ,0,0,                    ,已支出      
"20210118001080012204340004541787	","                    	",2021/1/18 9:35,                    ,2021/1/18 9:35,支付宝网站     ,即时到账交易          ,蚂蚁财富-蚂蚁（杭州）基金销售有限公司,蚂蚁财富-鹏华丰禄债券-买入      ,100,        ,交易成功    ,0,0,                    ,已支出      
"20210118320699807341 	","                    	",2021/1/18 2:48,                    ,2021/1/18 2:48,支付宝网站     ,即时到账交易          ,兴全基金管理有限公司      ,余额宝-2021.01.17-收益发放 ,1.67,        ,交易成功    ,0,0,                    ,已收入      
"20210118009130101000340063356658	","20210118009130501000340006556278	",2021/1/18 1:09,2021/1/18 1:09,2021/1/18 1:09,支付宝网站     ,即时到账交易          ,兴证全球基金管理有限公司    ,余额宝-自动转入            ,10,        ,交易成功    ,0,0,                    ,资金转移     
"20210117318717959341 	","                    	",2021/1/17 2:45,                    ,2021/1/17 2:45,支付宝网站     ,即时到账交易          ,兴全基金管理有限公司      ,余额宝-2021.01.16-收益发放 ,1.67,        ,交易成功    ,0,0,                    ,已收入      
"20210116307157449341 	","                    	",2021/1/16 2:51,                    ,2021/1/16 2:51,支付宝网站     ,即时到账交易          ,兴全基金管理有限公司      ,余额宝-2021.01.15-收益发放 ,2.32,        ,交易成功    ,0,0,                    ,已收入      
"20210114001080012404340002965947	","                    	",2021/1/15 17:40,                    ,2021/1/15 17:40,支付宝网站     ,即时到账交易          ,蚂蚁财富-蚂蚁（杭州）基金销售有限公司,蚂蚁财富-银河创新成长混合-卖出至余额宝,2519.63,        ,交易成功    ,0,0,                    ,已收入      
"20210115001080012204340003508229	","                    	",2021/1/15 11:00,                    ,2021/1/15 11:00,支付宝网站     ,即时到账交易          ,蚂蚁财富-蚂蚁（杭州）基金销售有限公司,蚂蚁财富-鹏华丰禄债券-买入      ,100,        ,交易成功    ,0,0,                    ,已支出      
"20210115305248097341 	","                    	",2021/1/15 3:01,                    ,2021/1/15 3:01,支付宝网站     ,即时到账交易          ,兴全基金管理有限公司      ,余额宝-2021.01.14-收益发放 ,1.87,        ,交易成功    ,0,0,                    ,已收入      
"20210114001080012204340002751017	","                    	",2021/1/14 13:42,                    ,2021/1/14 13:42,支付宝网站     ,即时到账交易          ,博时黄金-蚂蚁（杭州）基金销售有限公司,博时黄金-买入             ,100,        ,交易成功    ,0,0,                    ,已支出      
"20210114001080012204340002687334	","                    	",2021/1/14 9:37,                    ,2021/1/14 9:37,支付宝网站     ,即时到账交易          ,蚂蚁财富-蚂蚁（杭州）基金销售有限公司,蚂蚁财富-鹏华丰禄债券-买入      ,100,        ,交易成功    ,0,0,                    ,已支出      
"20210114398400478341 	","                    	",2021/1/14 2:41,                    ,2021/1/14 2:41,支付宝网站     ,即时到账交易          ,兴全基金管理有限公司      ,余额宝-2021.01.13-收益发放 ,1.54,        ,交易成功    ,0,0,                    ,已收入      
"20210114009130101000340059893032	","20210114009130501000340002103219	",2021/1/14 1:09,2021/1/14 1:09,2021/1/14 1:09,支付宝网站     ,即时到账交易          ,兴证全球基金管理有限公司    ,余额宝-自动转入            ,69.39,        ,交易成功    ,0,0,                    ,资金转移     
"20210113009130125000340059216999	","20210113200040011100080099020497	",2021/1/13 12:21,2021/1/13 12:21,2021/1/13 12:21,支付宝网站     ,即时到账交易          ,兴证全球基金管理有限公司    ,转账收款到余额宝            ,20,        ,交易成功    ,0,0,                    ,资金转移     
"20210113392195230341 	","                    	",2021/1/13 2:47,                    ,2021/1/13 2:47,支付宝网站     ,即时到账交易          ,兴全基金管理有限公司      ,余额宝-2021.01.12-收益发放 ,1.54,        ,交易成功    ,0,0,                    ,已收入      
"20210111001080012404340000771551	","                    	",2021/1/12 16:49,                    ,2021/1/12 16:49,支付宝网站     ,即时到账交易          ,蚂蚁财富-蚂蚁（杭州）基金销售有限公司,蚂蚁财富-招商国证生物医药指数-卖出至余额宝,551.92,        ,交易成功    ,0,0,                    ,已收入      
"20210112001080012204340001294914	","                    	",2021/1/12 9:18,                    ,2021/1/12 9:18,支付宝网站     ,即时到账交易          ,蚂蚁财富-蚂蚁（杭州）基金销售有限公司,蚂蚁财富-鹏华丰禄债券-买入      ,100,        ,交易成功    ,0,0,                    ,已支出      
"20210112385179144341 	","                    	",2021/1/12 2:44,                    ,2021/1/12 2:44,支付宝网站     ,即时到账交易          ,兴全基金管理有限公司      ,余额宝-2021.01.11-收益发放 ,1,        ,交易成功    ,0,0,                    ,已收入      
"20210111001080012204340000958804	","                    	",2021/1/11 14:40,                    ,2021/1/11 14:40,支付宝网站     ,即时到账交易          ,蚂蚁财富-蚂蚁（杭州）基金销售有限公司,蚂蚁财富-前海开源金银珠宝混合A-买入 ,800,        ,交易成功    ,0,0,                    ,已支出      
